iter	Passed	Remaining
0	145	145096
1	146	73316
2	148	49326
3	149	37322
4	151	30134
5	152	25328
6	154	21890
7	155	19319
8	157	17325
9	158	15714
10	160	14402
11	161	13307
12	162	12373
13	164	11571
14	165	10867
15	166	10244
16	167	9692
17	168	9199
18	169	8754
19	170	8350
20	171	7982
21	172	7646
22	172	7338
23	173	7055
24	174	6795
25	174	6551
26	175	6324
27	176	6111
28	176	5912
29	177	5725
30	177	5552
31	178	5387
32	178	5233
33	179	5087
34	179	4950
35	180	4821
36	180	4698
37	180	4582
38	181	4471
39	181	4367
40	182	4267
41	182	4173
42	183	4082
43	183	3996
44	184	3913
45	184	3834
46	185	3759
47	185	3686
48	186	3616
49	186	3550
50	187	3485
51	187	3423
52	188	3363
53	188	3307
54	189	3251
55	189	3198
56	190	3146
57	190	3096
58	191	3048
59	191	3002
60	192	2956
61	192	2913
62	193	2870
63	193	2829
64	193	2790
65	194	2751
66	194	2714
67	195	2675
68	195	2640
69	196	2606
70	196	2573
71	197	2540
72	197	2509
73	198	2478
74	198	2449
75	199	2419
76	199	2391
77	199	2364
78	200	2337
79	200	2310
80	201	2285
81	201	2260
82	202	2235
83	202	2211
84	203	2186
85	203	2164
86	204	2141
87	204	2119
88	204	2098
89	205	2077
90	205	2057
91	206	2037
92	206	2017
93	207	1998
94	207	1980
95	208	1961
96	208	1943
97	209	1926
98	209	1909
99	210	1892
100	210	1875
101	210	1857
102	211	1841
103	211	1825
104	212	1810
105	212	1795
106	213	1780
107	213	1765
108	214	1751
109	214	1737
110	215	1723
111	215	1709
112	216	1696
113	216	1683
114	217	1670
115	217	1656
116	217	1644
117	218	1632
118	218	1619
119	219	1607
120	219	1596
121	220	1584
122	220	1571
123	220	1560
124	221	1549
125	221	1539
126	222	1528
127	222	1516
128	223	1506
129	223	1496
130	224	1486
131	224	1476
132	225	1467
133	225	1457
134	225	1447
135	226	1438
136	226	1429
137	227	1419
138	227	1410
139	228	1402
140	228	1393
141	229	1384
142	229	1376
143	230	1367
144	230	1359
145	231	1351
146	231	1343
147	231	1335
148	232	1327
149	232	1319
150	233	1312
151	233	1304
152	234	1297
153	234	1290
154	235	1282
155	235	1275
156	236	1268
157	236	1261
158	237	1254
159	237	1247
160	238	1241
161	238	1234
162	239	1227
163	239	1221
164	240	1214
165	240	1208
166	240	1202
167	241	1195
168	241	1189
169	242	1183
170	242	1177
171	243	1171
172	243	1165
173	244	1159
174	244	1153
175	245	1148
176	245	1142
177	246	1136
178	246	1131
179	247	1125
180	247	1118
181	247	1113
182	248	1108
183	248	1103
184	249	1097
185	249	1092
186	250	1087
187	250	1082
188	251	1077
189	251	1072
190	252	1069
191	253	1064
192	253	1060
193	254	1055
194	254	1050
195	254	1045
196	255	1041
197	255	1036
198	256	1031
199	256	1027
200	257	1022
201	257	1018
202	258	1013
203	258	1009
204	259	1004
205	259	1000
206	260	996
207	260	991
208	260	987
209	261	983
210	261	979
211	262	975
212	262	971
213	263	967
214	263	963
215	264	959
216	264	955
217	265	951
218	265	947
219	266	943
220	266	939
221	267	935
222	267	932
223	267	928
224	268	924
225	268	920
226	269	917
227	269	913
228	270	909
229	270	906
230	271	902
231	271	899
232	272	895
233	272	892
234	273	889
235	273	885
236	274	882
237	274	878
238	274	875
239	275	872
240	275	868
241	276	865
242	276	862
243	277	859
244	277	855
245	278	852
246	278	849
247	279	846
248	279	843
249	280	840
250	280	837
251	281	834
252	281	831
253	281	828
254	282	825
255	282	822
256	283	819
257	283	816
258	284	813
259	284	810
260	285	807
261	285	804
262	286	801
263	286	799
264	287	796
265	287	793
266	288	790
267	288	787
268	288	785
269	289	782
270	289	779
271	290	776
272	290	774
273	291	771
274	291	768
275	292	766
276	292	763
277	293	761
278	293	758
279	293	755
280	294	753
281	294	750
282	295	748
283	295	746
284	296	743
285	297	741
286	297	739
287	298	737
288	298	734
289	299	732
290	299	730
291	300	727
292	300	725
293	301	723
294	301	721
295	302	718
296	302	716
297	303	714
298	303	711
299	304	709
300	304	707
301	304	704
302	305	702
303	305	700
304	306	698
305	306	695
306	307	693
307	307	691
308	308	689
309	308	687
310	309	684
311	309	682
312	310	680
313	310	678
314	311	676
315	311	674
316	311	672
317	312	670
318	312	667
319	313	665
320	313	663
321	314	661
322	314	659
323	315	657
324	315	655
325	316	653
326	316	651
327	317	649
328	317	647
329	317	645
330	318	643
331	318	641
332	319	639
333	319	637
334	320	635
335	320	633
336	321	632
337	321	630
338	322	628
339	322	626
340	323	624
341	323	622
342	324	620
343	324	618
344	325	617
345	325	615
346	325	613
347	326	611
348	326	609
349	327	607
350	327	605
351	328	604
352	328	602
353	329	600
354	329	598
355	330	597
356	330	595
357	330	593
358	331	591
359	331	590
360	332	588
361	332	586
362	333	584
363	333	583
364	334	581
365	334	579
366	335	578
367	335	576
368	336	574
369	336	573
370	337	571
371	337	569
372	337	568
373	338	566
374	338	564
375	339	563
376	339	561
377	340	560
378	340	558
379	341	557
380	341	555
381	342	553
382	342	552
383	343	550
384	343	549
385	344	547
386	344	545
387	345	544
388	345	542
389	346	541
390	346	539
391	346	538
392	347	536
393	347	535
394	348	533
395	348	532
396	349	530
397	349	529
398	350	527
399	350	526
400	351	524
401	351	523
402	352	521
403	352	520
404	353	518
405	353	517
406	354	515
407	354	514
408	354	512
409	355	511
410	355	510
411	356	508
412	356	507
413	357	505
414	357	504
415	358	502
416	358	501
417	359	500
418	359	498
419	360	497
420	360	495
421	361	494
422	361	493
423	362	491
424	362	490
425	362	489
426	363	487
427	363	486
